,,,,,,
,File Name,Description,,,,
,BC Color 20.xlsx,Binary Classification (BC) result for 20 color condition observers,,,,
,BC Gray 20.xlsx,Binary Classification result for 20 gray condition observers (extracted Lightness),,,,
,BC-GrayCP 20.xlsx,Binary Classification result for 20 gray condition observers (contrast preserved) in supplementary material,,,,
,BC_300.csv,Sequence of trials use in the BC task.,,,,
,Material Categorization trial.csv,Sequence of trials use in the Material Categorization task.,,,,
,Naming Color 15.xlsx,Material Categorization results for 15 color condition observers,,,,
,Naming Gray 15.xlsx,Material Categorization results for 15 gray condition observers,,,,
,Naming-GrayCP 20.xlsx,Material Categorization results for 20 grayscale (contrast preserved) condition observers,,,,
,SAR Color 20.xlsx,Semantic Attribute Rating (SAR) results for 20 color condition observers,,,,
,SAR Gray 20.xlsx,Semantic Attribute Rating results for 20 grayscale condition observers,,,,
,SAR_300.csv,Sequence of trials use in the SAR task.,,,,
,color_BC_SAR,Merged SAR and BC results for all color condition observers (lightness extracted),,,,
,gray_BC_SAR,Merged SAR and BC results for all grayscale condition observers (lightness extracted),,,,