image_name,Material
palmivory4,Ivory
soywax2,Wax
grapefruit5,Food/fruit/vegetables
soapBB,Soap
bun3,Plastic/Synthetic
JellyMooncake6,Food/gummi/jelly
caramelcandy5,Food/candy/sugar
greencrystal,Crystal/quatz/mineral/jade
bronze1,Metal
selenite2,Crystal/quatz/mineral/jade
shrimp1,Food/meat/seafood
quartz10BB,Crystal/quatz/mineral/jade
ivory1,Ivory
colorsoap2,Soap
wax14,Wax
peachslice2,Food/fruit/vegetables
yellowstone6BB,Crystal/quatz/mineral/jade
snowball3,Food/shaved ice/ice cream/cream
quartz3,Crystal/quatz/mineral/jade
caviar2,Food/meat/seafood
glasscup1,Glass
resin3,Plastic/Synthetic
PearlOnion2,Food/fruit/vegetables
sugarcube4,Food/candy/sugar
greensoap1,Soap
lightbulb1,Glass
soap7,Soap
dougao3,Food in general
peeledlemon3,Food/fruit/vegetables
wax13,Soap
metal14,Metal
sweetpotato1,Food/fruit/vegetables
ice6,Food/shaved ice/ice cream/cream
baozi2,Food in general
glycerin4,Soap
mangojelly5,Food/gummi/jelly
egg7,Food in general
mochi17,Food in general
fishmeat7,Food/meat/seafood
turnipslice2,Food/fruit/vegetables
plasticgear1,Plastic/Synthetic
cream4,Food/shaved ice/ice cream/cream
tuna2,Food/meat/seafood
ice2,Food/shaved ice/ice cream/cream
marshmallow5,Food in general
fishmeat6,Food/meat/seafood
lemonwedge4,Food/fruit/vegetables
choppedpotato3,Food/fruit/vegetables
keycap2,Plastic/Synthetic
persimmon1,Food/fruit/vegetables
peeledpeach2,Food/fruit/vegetables
tarsoap2,Soap
DragonfruitJelly2,Food/gummi/jelly
tuna11,Food/meat/seafood
steelcube,Metal
cantaloupe1,Food/fruit/vegetables
concrete2,Marble/Stone/Concrete
tofu6,Food in general
towel3,Plastic/Synthetic
copperBB,Metal
pickle1,Food/fruit/vegetables
ice5,Food/shaved ice/ice cream/cream
sweetpotato3,Food/fruit/vegetables
GlycerinSoap3,Soap
quartz77,Crystal/quatz/mineral/jade
DriedCantaloupe4,Food/fruit/vegetables
marblestatue2,Marble/Stone/Concrete
honeydew2,Food/fruit/vegetables
tire1,Rubber
tulumba1,Food in general
meat10,Food/meat/seafood
cocoon2,Other biological material
mochi13,Food in general
pineapple5,Food/fruit/vegetables
tuna10BB,Food/meat/seafood
honeycomb4,Food in general
peeledpeach1,Food/fruit/vegetables
ceramic3,Ceramic
honeysoap1,Soap
snowbow2,Food/shaved ice/ice cream/cream
kiwi7,Food/fruit/vegetables
onion1,Food/fruit/vegetables
yellowsoap1,Soap
olivesoap1,Soap
eraser3,Rubber
dumpling3,Food in general
wax2,Wax
peeledorange3,Food/fruit/vegetables
resin2,Plastic/Synthetic
salmon5,Food/meat/seafood
selenite3,Crystal/quatz/mineral/jade
gummi30,Food/gummi/jelly
marzipan3,Food in general
glasschess1,Glass
orangewedge5,Food/fruit/vegetables
peeledpumkin4,Food/fruit/vegetables
dragonfruit7,Food/fruit/vegetables
beewax12,Wax
fluorite1,Crystal/quatz/mineral/jade
bronzehead,Metal
beewax8,Wax
egg6,Food in general
jade11,Crystal/quatz/mineral/jade
cheesewaxBB,Wax
lucitefruit3,Glass
bluejelly,Food/gummi/jelly
tulumba4,Food in general
eggyolk8,Food in general
caramelcandy1,Food/candy/sugar
lucitefruit1,Glass
frostedglass2,Glass
brownrock,Marble/Stone/Concrete
dragonfruit4,Food/fruit/vegetables
toy1,Plastic/Synthetic
toy2BB,Plastic/Synthetic
marshmallow2,Food in general
maripan1,Food in general
tarsoap1,Soap
mochi11,Food in general
wood14,Wood
frostedglass3,Glass
Scallops3,Food/meat/seafood
carrotslice1,Food/fruit/vegetables
JellyMooncake1,Food/gummi/jelly
meat1BB,Food/meat/seafood
cheese7,Food/cheese
ambersoap,Soap
honeycomb3,Food in general
cheesekeycap,Plastic/Synthetic
marble3,Marble/Stone/Concrete
SlicedBanana2,Food/fruit/vegetables
waxcube3,Wax
mantou1,Food in general
fudge4,Food/candy/sugar
raspberry3,Food/fruit/vegetables
butter1,Food in general
tofu2,Food in general
hamslice2,Food/meat/seafood
bearBB,Food/gummi/jelly
cheesewax4,Wax
avacado6,Food/fruit/vegetables
ivory2,Ivory
jello2,Food/gummi/jelly
quartz64,Crystal/quatz/mineral/jade
turnipslice1,Food/fruit/vegetables
pot3,Ceramic
palmivory3,Ivory
soap3BB,Soap
clay11,Clay
whitejade3,Crystal/quatz/mineral/jade
beewax7,Wax
jade12,Crystal/quatz/mineral/jade
mangojelly3,Food/gummi/jelly
marble1,Marble/Stone/Concrete
glasschess3,Glass
jade5BB,Crystal/quatz/mineral/jade
beewax9,Wax
cheese12,Food/cheese
seashell6,Other biological material
bowl1,Plastic/Synthetic
tofu7,Food in general
cheesecake4,Food/cheese
peeledpumkin2,Food/fruit/vegetables
beewax4,Wax
metal17,Metal
icecream1,Food/shaved ice/ice cream/cream
fishmeat1,Food/meat/seafood
PinkWax2,Wax
honeycandy2,Food/candy/sugar
metal8,Metal
pearl4,Other biological material
fluorite2,Crystal/quatz/mineral/jade
sulfursoap1,Soap
tuna4BB,Food/meat/seafood
cheesewax5,Wax
woodcube1,Wood
salmon3,Food/meat/seafood
jade13,Crystal/quatz/mineral/jade
sulfursoap2,Soap
fluorite4,Crystal/quatz/mineral/jade
sponge1,Plastic/Synthetic
urethane1,Plastic/Synthetic
resincube1,Plastic/Synthetic
cheese16,Food/cheese
beeswax1,Wax
cheese8,Food/cheese
orangewedge1,Food/fruit/vegetables
pomegranate2,Food/fruit/vegetables
fishmeat5,Food/meat/seafood
glasschess2,Glass
rmeat3BB,Food/meat/seafood
sugarcube5,Food/candy/sugar
waxcube1,Wax
beewax6,Wax
meat5BB,Food/meat/seafood
sugarcube2,Food/candy/sugar
dougao1,Food in general
mochi8,Food in general
GlycerinSoap2,Soap
limesoap1,Soap
meat3BB,Food/meat/seafood
copper3,Metal
glycerin6,Soap
egg5,Food in general
beeswax3,Wax
wax4BB,Wax
tofu3,Food in general
kiwi2,Food/fruit/vegetables
bread2,Food in general
JellyMooncake5,Food/gummi/jelly
seashell4,Other biological material
clay12,Clay
crystal3,Crystal/quatz/mineral/jade
watermelonchunk2,Food/fruit/vegetables
butter4,Food in general
icecream5,Food/shaved ice/ice cream/cream
dougao4,Food in general
cheese14,Food/cheese
brick12,Marble/Stone/Concrete
honey1,Food/candy/sugar
quartz80,Crystal/quatz/mineral/jade
botryoidal1,Crystal/quatz/mineral/jade
rockcandy1,Food/candy/sugar
mochi1,Food in general
wax3,Wax
cantaloupe3,Food/fruit/vegetables
spinach3,Food/fruit/vegetables
peeledlemon2,Food/fruit/vegetables
bowl6,Plastic/Synthetic
strand1,Plastic/Synthetic
metal13,Metal
mangojelly1,Food/gummi/jelly
peeledlemon5,Food/fruit/vegetables
fluorite7,Crystal/quatz/mineral/jade
greenston2,Marble/Stone/Concrete
cucumberslice2,Food/fruit/vegetables
PearlOnion3,Food/fruit/vegetables
onion4,Food/fruit/vegetables
pomegranate1,Food/fruit/vegetables
stickytoy1,Plastic/Synthetic
fluorite6,Crystal/quatz/mineral/jade
cheese3,Food/cheese
tofu5,Food in general
cookie3,Food in general
pineapple2,Food/fruit/vegetables
strawberry2,Food/fruit/vegetables
cookie2,Food in general
grapefruit4,Food/fruit/vegetables
plastic1BB,Plastic/Synthetic
fudge2,Food/candy/sugar
DriedCantaloupe3,Food/fruit/vegetables
soywax4,Wax
chocolate13,Food in general
meat4BB,Food/meat/seafood
granite2,Marble/Stone/Concrete
rockcandy2,Food/candy/sugar
cup14BB,Plastic/Synthetic
jello5,Food/gummi/jelly
greenstone1,Marble/Stone/Concrete
soap8,Soap
fudge5,Food/candy/sugar
DragonfruitJelly1,Food/gummi/jelly
choppedpotato2,Food/fruit/vegetables
pickleslice1,Food/fruit/vegetables
Angel3,Crystal/quatz/mineral/jade
palmivory1,Ivory
rubber7,Rubber
bluefluorite1,Crystal/quatz/mineral/jade
orange7,Food/fruit/vegetables
quartz54,Crystal/quatz/mineral/jade
pearl1,Other biological material
limeslice1,Food/fruit/vegetables
peeledorange1,Food/fruit/vegetables
cup4BB,Plastic/Synthetic
glycerin5,Soap
frostedglass1,Glass
raspberry2,Food/fruit/vegetables
sponge2,Plastic/Synthetic
caramelcandy3,Food/candy/sugar
strawberry1,Food/fruit/vegetables
chickennugget3,Food in general
tofu11,Food in general
Scallops2,Food/meat/seafood
plastic6BB,Plastic/Synthetic
tooth3,Other biological material
butter2,Food in general
waffle3,Food in general
jello1,Food/gummi/jelly
limeslice6,Food/fruit/vegetables
stone1,Marble/Stone/Concrete
plastic7BB,Plastic/Synthetic
chalk1,Chalk
cheese11,Food/cheese
steel3,Metal
Scallops4,Food/meat/seafood
persimmon2,Food/fruit/vegetables
chalk3,Chalk
botryoidal2,Crystal/quatz/mineral/jade
colorsoap1,Soap
gummi29,Food/gummi/jelly